clientid,patientid,statusid,name,breedname,breedid,speciesname,speciesid,extension,active,description
13385,6280,1,Abby,SHETLAND SHEEPDOG,16,Canine,CAN,,1,Spayed Female
303,520,1,Abby,"Terrier, Yorkie-poo",TYD,Canine,CAN,,1,Spayed Female
6082,29529,1,Abby,GOLDEN RETRIEVER,2,Canine,CAN,,1,Spayed Female
6036,3675,1,Abby,Goldendoodle,RGP,Canine,CAN,,1,Spayed Female
3952,6262,1,Abby,"Terrier, Jack Russell Mix",TJX,Canine,CAN,,1,Spayed Female
5839,8946,1,Abby,Siamese,SIA,Feline,FEL,,1,Spayed Female
5066,18891,1,Abby,Shepherd Mix,SHM,Canine,CAN,,1,Spayed Female
5937,9088,1,Abby,Catahoula Leopard Dog,CAT,Canine,CAN,,1,Spayed Female
22485,27972,1,Abby,"Retriever, Labrador Mix",RLX,Canine,CAN,,1,Spayed Female
4256,6745,1,Abby,SIBERIAN HUSKY,55,Canine,CAN,,1,Spayed Female
18377,18377-1,1,Abby,"Shepherd, German Mix",GEX,Canine,CAN,,1,Spayed Female
9477,15542,1,Abby,Bernadoodle- Bernese and Poodl,BPX,Canine,CAN,,1,Spayed Female
8366,13464,1,Abby,Domestic Shorthair,DSH,Feline,FEL,,1,Female
2952,6561,1,Abby,"Poodle, Miniature",POO,Canine,CAN,,1,Spayed Female
3544,5608,1,Abby,Bichon Frise Mix,BIX,Canine,CAN,,1,Spayed Female
760,760-1,1,Abby,"Sheepdog, Old English",OES,Canine,CAN,,1,Spayed Female
15069,23914,1,Abby,Domestic Shorthair,DSH,Feline,FEL,,1,Female
1137,18813,1,Abby,Domestic Shorthair,DSH,Feline,FEL,,1,Female
14576,27244,1,Abby,"Retriever, Labrador Mix",RLX,Canine,CAN,,1,Spayed Female
3884,L6518-1,1,Abby,BORDER COLLIE,7,Canine,CAN,,1,Spayed Female
10796,18162,1,Abby,Domestic Shorthair,DSH,Feline,FEL,,1,Female
20649,20649-1,1,Abby,Other Guinea Pig,OTH,Guinea Pig,GUI,,1,Female
7034,12551,1,Abby,"Shepherd, Australian Miniature",SMA,Canine,CAN,,1,Spayed Female
L6097,L3001,1,Abby,LABRADOR RETRIEVER,10,Canine,CAN,,1,Spayed Female
1023,5271Abby,1,Abby Hall,Mixed,MIX,Canine,CAN,,1,Female
3370,5358,1,Abel,"Bulldog, English",BUE,Canine,CAN,,1,Neutered Male
L7311,L6296,1,Abel,"Bulldog, English",BUE,Canine,CAN,,1,Male
8341,24551,1,Abetta,Great Pyrenees Mix,GPX,Canine,CAN,,1,Spayed Female
12354,20876,1,Abigail,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
15250,1852,1,Abigail,Domestic Mediumhair,DMH,Feline,FEL,,1,Spayed Female
17546,6067,1,Abigail,BERNESE MOUNTAIN DOG,49,Canine,CAN,,1,Spayed Female
2460,9904,1,Abigail,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
9864,16310,1,Abigail,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
6284,28081,1,Abigail,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
18074,8876,1,Abigail,Domestic Mediumhair,DMH,Feline,FEL,,1,Female
10207,16969,1,Abigail,Shih Tzu,SHI,Canine,CAN,,1,Female
5303,8223,1,Abner,Unknown,UNK,Guinea Pig,GUI,,1,Male
5555,8546,1,Abraham Lincoln,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
20099,6450,1,Abscinthe,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
18545,18545-1,1,Abu,Shih Tzu Mix,SHH,Canine,CAN,,1,Spayed Female
L6229,L6229-2,1,Ace,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
5355,8294,1,Ace,Domestic Mediumhair,DMH,Feline,FEL,,1,Neutered Male
19670,25659,1,Ace,Pitbull,PIT,Canine,CAN,,1,Male
6271,28049,1,Ace,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
16636,24588,1,Ace,Great Dane,GRD,Canine,CAN,,1,Neutered Male
4477,7041,1,Ace,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
8890,23256,1,Ace,Pomski,SKI,Canine,CAN,,1,Male
7815,19134,1,Ace,AUSTRALIAN SHEPHERD,51,Canine,CAN,,1,Male
323,22784,1,Ace,Akita Mix,AKX,Canine,CAN,,1,Male
6421,L6872,1,Ace,YORKSHIRE TERRIER,4,Canine,CAN,,1,Neutered Male
6935,8814,1,Ace,Chihuahua Mix,CIX,Canine,CAN,,1,Neutered Male
489,22318,1,Ace,Pomski,SKI,Canine,CAN,,1,Male
331,20613,1,Ace,"Shepherd, German",GER,Canine,CAN,,1,Male
3733,10623,1,Ace,LABRADOR RETRIEVER,10,Canine,CAN,,1,Neutered Male
12614,21436,1,Ace,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
6374,21292,1,Ace,Husky,HUS,Canine,CAN,,1,Neutered Male
3871,6124,1,Ace,Boxer Mix,BXX,Canine,CAN,,1,Neutered Male
4599,7316,1,Ace,Domestic Mediumhair,DMH,Feline,FEL,,1,Male
12155,20592,1,Ace,"Shar Pei, Chinese",SHP,Canine,CAN,,1,Male
4139,6527,1,Ace,Husky Mix,HUX,Canine,CAN,,1,Male
11966,20320,1,Ace,American Bully,AMB,Canine,CAN,,1,Male
7465,11791,1,Ace,DSH,8,Feline,FEL,,1,Neutered Male
23595,30983,1,Ace,Chihuahua Mix,CIX,Canine,CAN,,1,Neutered Male
11872,20173,1,Ace,DOBERMAN PINSCHER,26,Canine,CAN,,1,Male
L6062,L2919,1,Ace,BORDER COLLIE,7,Canine,CAN,,1,Neutered Male
9674,15892,1,Ace,Cockapoo,COC,Canine,CAN,,1,Neutered Male
19279,25552,1,Ace,"Retriever, Labrador Mix",RLX,Canine,CAN,,1,Neutered Male
L6626,22147,1,Ace,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
L6278,9936,1,Ace,"Retriever, Labrador",RLA,Canine,CAN,,1,Neutered Male
11296,19137,1,Ace,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
2460,7527,1,Ace Jr.,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
2664,21396,1,Ace Miller,Other Canine,OTH,Canine,CAN,,1,Unknown
22456,27908,1,Achilles,Husky,HUS,Canine,CAN,,1,Neutered Male
6889,17497,1,Achilles,Domestic Mediumhair,DMH,Feline,FEL,,1,Neutered Male
23149,29765,1,Achilles,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
7262,11353,1,Achilles,Retriever Mixed,REX,Canine,CAN,,1,Neutered Male
5763,8861,1,Achilles,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
2540,4029,1,Achilles,Havanese Mix,HVX,Canine,CAN,,1,Male
21521,30054,1,aclient communication,Unknown,UNK,Cash Small,CSM,,1,Unknown
5189,8075,1,Acorn,Saint Bernard Mix,STX,Canine,CAN,,1,Female
L7657,L6963,1,Acorn,BERNESE MOUNTAIN DOG,49,Canine,CAN,,1,Male
799,1276,1,Action,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
18088,25182,1,Ada,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
1653,28460,1,Ada,GOLDEN RETRIEVER,2,Canine,CAN,,1,Spayed Female
15397,15397-1,1,Ada May,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
10733,18044,1,Adam,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
2434,1711,1,Adam Savage,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
3131,4918,1,Addie,YORKSHIRE TERRIER,4,Canine,CAN,,1,Spayed Female
21801,21801-1,1,Addie,"Spaniel, English Cocker",SPE,Canine,CAN,,1,Spayed Female
22053,26988,1,Addie,"Spaniel, Cavalier King Charles",SKC,Canine,CAN,,1,Spayed Female
21874,27864,1,Addie,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
6972,14721,1,Addie,"Retriever, Labrador",RLA,Canine,CAN,,1,Female
7287,11413,1,Addie,LABRADOR RETRIEVER,10,Canine,CAN,,1,Spayed Female
20316,16986,1,Addie,"Retriever, Golden",RGO,Canine,CAN,,1,Spayed Female
12551,27410,1,Addison,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
7628,12064,1,Addison (Addie),"Shepherd, Australian Mix",SAX,Canine,CAN,,1,Spayed Female
11368,23670,1,Addy,Pitbull,PIT,Canine,CAN,,1,Spayed Female
L6807,L6807-1,1,Addy,Coonhound Mix,CHX,Canine,CAN,,1,Spayed Female
10128,16804,1,Adeline,Domestic Mediumhair,DMH,Feline,FEL,,1,Spayed Female
21547,26302,1,Adeline,GOLDEN RETRIEVER,2,Canine,CAN,,1,Spayed Female
11171,14911,1,Admiral Whiskers,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
10047,16629,1,Aengus,Mixed,MIX,Canine,CAN,,1,Neutered Male
22202,30780,1,Aerial,"Goldendoodle, mini",MGO,Canine,CAN,,1,Spayed Female
3365,5343,1,Aero,Goldendoodle,RGP,Canine,CAN,,1,Neutered Male
804,1285,1,Aesop,"Bulldog, French",BUF,Canine,CAN,,1,Neutered Male
11475,19454,1,Afah,Siamese Mix,SIX,Feline,FEL,,1,Neutered Male
112,8346,1,Afi,Havanese Mix,HVX,Canine,CAN,,1,Spayed Female
6833,11954,1,African Side Neck,"Turtle, Slider",TSL,Reptile/Amphibian,REA,,1,Unknown
13672,20265,1,Agatha,Domestic Shorthair,DSH,Feline,FEL,,1,Female
5667,20276,1,Agatha,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
14618,14618-1,1,Ageneral Merchandise,Other Feline,OTH,Feline,FEL,,1,Undetermined
3542,5604,1,Agera,Shepherd Mix,SHM,Canine,CAN,,1,Spayed Female
15374,28623,1,Aggie,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
9484,17757,1,Aggie,Shorkie,TYS,Canine,CAN,,1,Female
18923,541,1,Agnes,"Terrier, Yorkie-poo",TYD,Canine,CAN,,1,Female
23317,30231,1,Agnes,American Bully,AB,Canine,CAN,,1,Female
14591,23692,1,Ahri,Samoyed,SAM,Canine,CAN,,1,Spayed Female
3027,26084,1,Ahsoka,Domestic Mediumhair,DMH,Feline,FEL,,1,Spayed Female
5355,8293,1,Ahsoka,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
6864,14626,1,Aidan,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
23270,30098,1,Aiden,DSH,8,Feline,FEL,,1,Neutered Male
17459,25128,1,Aiden,MAINE COON CAT,34,Feline,FEL,,1,Neutered Male
7048,7048-1,1,Aika,Bichon Frise,BIF,Canine,CAN,,1,Spayed Female
11593,19671,1,Aiko,"Cattle Dog, Australian",ACD,Canine,CAN,,1,Spayed Female
20203,25849,1,Aimee,YORKSHIRE TERRIER,4,Canine,CAN,,1,Female
L7619,L6881,1,Aimee,Other Canine,OTH,Canine,CAN,,1,Female
4777,7450,1,Aisling,"Hare, Belgian",BEL,Rabbit,RAB,,1,Spayed Female
22054,26989,1,AJ,DLH,23,Feline,FEL,,1,Neutered Male
1193,1939,1,AJ,Parrotlet,PLT,Avian,AVI,,1,Male
11037,3108,1,Aja,Siamese,SIA,Feline,FEL,,1,Spayed Female
12824,28198,1,Ajani,Ragdoll,RAG,Feline,FEL,,1,Neutered Male
21679,21679-1,1,Aki,"Shepherd, German Mix",GEX,Canine,CAN,,1,Neutered Male
11132,18834,1,Akira,Collie,COL,Canine,CAN,,1,Spayed Female
699,1102,1,Akira,"Terrier, Yorkie-poo",TYD,Canine,CAN,,1,Spayed Female
14013,25255,1,Akira,"Husky, Siberian",SIB,Canine,CAN,,1,Spayed Female
7940,7940-2,1,Akito,Terrier,TER,Canine,CAN,,1,Neutered Male
6975,22576,1,Akuma,Domestic,DOM,Ferret,FER,,1,Male
11843,24548,1,Al,Siamese Mix,SIX,Feline,FEL,,1,Neutered Male
12694,21599,1,Al,Other Chinchilla,OTH,Chinchilla,CHI,,1,Male
L7304,L6283,1,Alabaster,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
18037,28940,1,Alan,American Satin,AMS,Guinea Pig,GUI,,1,Male
2983,27441,1,Alani,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
10785,18143,1,Albert,Domestic Longhair,DLH,Feline,FEL,,1,Neutered Male
14653,23716,1,Albert,"Dragon, Bearded",DBR,Reptile/Amphibian,REA,,1,Male
15118,23928,1,Albert,Domestic Shorthair,DSH,Feline,FEL,,1,Male
11624,19740,1,Albus,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
20093,20093-1,1,Albus,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
19731,13179,1,Albus,Pitbull Mix,PBX,Canine,CAN,,1,Neutered Male
8587,18302,1,Albus,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
22220,27901,1,Albus,GOLDEN RETRIEVER,2,Canine,CAN,,1,Male
21682,21682-1,1,Aldo,"Chihuahua, Smooth-coated",CIS,Canine,CAN,,1,Neutered Male
8263,23540,1,Alec,Domestic Shorthair,DSH,Feline,FEL,,1,Male
10113,16770,1,Alec,Domestic,DOM,Ferret,FER,,1,Male
9949,20050,1,Alee,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
14425,23626,1,Aleen,"Python, Ball",PBA,Reptile/Amphibian,REA,,1,Female
16449,24490,1,Alek,"Pug, Chinese",PUG,Canine,CAN,,1,Male
23572,30906,1,Alex,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
13716,23182,1,Alex,"Dragon, Bearded",DBR,Reptile/Amphibian,REA,,1,Female
13177,28827,1,Alex,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
4039,6351,1,Alex,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
10031,24570,1,Alex,Mixed,MIX,Canine,CAN,,1,Male
541,849,1,Alex,"Terrier, Jack Russell",TJR,Canine,CAN,,1,Neutered Male
5388,8342,1,Alex,Domestic Mediumhair,DMH,Feline,FEL,,1,Spayed Female
5189,8070,1,Alex,Saint Bernard Mix,STX,Canine,CAN,,1,Male
18204,25234,1,Alex,Chihuahua Mix,CIX,Canine,CAN,,1,Neutered Male
22093,27065,1,Alex,Terrier Mix,TEX,Canine,CAN,,1,Neutered Male
19652,25774,1,Alex,Domestic Shorthair,DSH,Feline,FEL,,1,Male
20401,20401-1,1,Alex,"Chihuahua, Smooth-coated",CIS,Canine,CAN,,1,Neutered Male
2391,3769,1,Alex,"Terrier, Airedale",TAI,Canine,CAN,,1,Male
21100,21100-1,1,Alex,"Retriever, Golden",RGO,Canine,CAN,,1,Male
8514,6926,1,Alex,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
9192,2293,1,Alexa,Poodle Mix,PXX,Canine,CAN,,1,Spayed Female
L6095,L2993,1,Alexander,Domestic Mediumhair,DMH,Feline,FEL,,1,Male
6136,9330,1,Alexander,MAINE COON CAT,34,Feline,FEL,,1,Neutered Male
L6286,L6286-1,1,Alexander,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
2470,3906,1,Alexander Blue,MAINE COON CAT,34,Feline,FEL,,1,Neutered Male
11546,14536,1,Alexis,Bernadoodle- Bernese and Poodl,BPX,Canine,CAN,,1,Spayed Female
8187,3839,1,Alexis,Ragdoll,RAG,Feline,FEL,,1,Spayed Female
7815,12366,1,Alf,"Shepherd, Australian Miniature",SMA,Canine,CAN,,1,Male
3467,8902,1,Alfalfa,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
13546,11694,1,Alfie,Maltese Mix,MAX,Canine,CAN,,1,Neutered Male
2793,6350,1,Alfie,Rottweiler,ROT,Canine,CAN,,1,Male
7700,12179,1,Alfie,Domestic Longhair,DLH,Feline,FEL,,1,Neutered Male
23360,30343,1,Alfie,FRENCH BULLDOG,29,Canine,CAN,,1,Neutered Male
20132,25819,1,Alfie,Domestic Longhair,DLH,Feline,FEL,,1,Neutered Male
12424,21015,1,Alfie,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
L2127,19524,1,Alfie,"Sheepdog, Shetland",SHS,Canine,CAN,,1,Neutered Male
23303,30195,1,Alfie,"Dragon, Bearded",DBR,Reptile/Amphibian,REA,,1,Male
12946,17385,1,Alfred,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
12615,21439,1,Alfred,Goldendoodle,RGP,Canine,CAN,,1,Neutered Male
19160,25510,1,Algodon,Samoyed,SAM,Canine,CAN,,1,Male
23715,31281,1,Alice,Shepherd,SHD,Canine,CAN,,1,Spayed Female
1879,3654,1,Alice,Domestic Shorthair,DSH,Feline,FEL,,1,Female
16721,26562,1,Alice,DSH,8,Feline,FEL,,1,Spayed Female
16618,24572,1,Alice,"Corgi, Pembroke Welsh",WCP,Canine,CAN,,1,Spayed Female
3336,5315,1,Alice,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
3280,10723,1,Alice,Lionhead,LIO,Rabbit,RAB,,1,Female
21574,3414,1,Alice,Domestic Shorthair,DSH,Feline,FEL,,1,Female
7367,20889,1,Alice,Domestic Shorthair,DSH,Feline,FEL,,1,Female
3479,5505,1,Alice,BERNESE MOUNTAIN DOG,49,Canine,CAN,,1,Spayed Female
17329,17329-1,1,Alice,Mastiff Mix,MSX,Canine,CAN,,1,Spayed Female
11196,24249,1,Alice,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
18672,30387,1,Alice,Shih Tzu,SHI,Canine,CAN,,1,Spayed Female
2082,3317,1,Alittles,Domestic Shorthair,DSH,Feline,FEL,,1,Male
3197,7143,1,Aliver,CAVALIER KING CHARLES SPANIEL,27,Canine,CAN,,1,Neutered Male
11982,22241,1,Alivia,Pitbull,PIT,Canine,CAN,,1,Female
7454,11770,1,Allagash,Great Dane Mix,GDX,Canine,CAN,,1,Spayed Female
L7482,L6650,1,Alley,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
3777,3777-1,1,Alley,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
3432,5440,1,Alley,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
17168,22415,1,Alley Cat,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
L6328,L7350,1,Alley Cat,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
8118,12977,1,Alli,"Terrier, Yorkshire Mix",TYX,Canine,CAN,,1,Spayed Female
18124,25196,1,Alli,Retriever Mixed,REX,Canine,CAN,,1,Spayed Female
4753,4753-1,1,Alli,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
5886,15449,1,Allie,Cavapoo,CQQ,Canine,CAN,,1,Spayed Female
20380,20380-1,1,Allie,"Retriever, Labrador Mix",RLX,Canine,CAN,,1,Spayed Female
21238,15983,1,Allie,"Poodle, Toy",POT,Canine,CAN,,1,Spayed Female
L6606,L6606-1,1,Allie,"Coon, Maine",MAC,Feline,FEL,,1,Spayed Female
15360,24059,1,Allie,Maltese,MAL,Canine,CAN,,1,Spayed Female
2851,4509,1,Allie,"Retriever, Labrador",RLA,Canine,CAN,,1,Spayed Female
L7396,29195,1,Allie,Pomski,SKI,Canine,CAN,,1,Female
14026,14026-1,1,Allie,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
21255,4770,1,Allie,"Cattle Dog, Australian Mix",ACX,Canine,CAN,,1,Spayed Female
21532,3408,1,Allie,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
12539,30197,1,Allie,Retriever Mixed,REX,Canine,CAN,,1,Female
7962,12679,1,Allie,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
11750,19917,1,Allie,Beagle Mix,BGX,Canine,CAN,,1,Spayed Female
5449,8435,1,Allie,COCK-APOO,5,Canine,CAN,,1,Spayed Female
7087,11033,1,Allie,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
21552,26303,1,Allie,GERMAN SHORTHAIRED POINTER,17,Canine,CAN,,1,Female
22573,28199,1,Allie,"Bulldog, French",BUF,Canine,CAN,,1,Spayed Female
16212,9926,1,Allie,Mixed,MIX,Canine,CAN,,1,Spayed Female
2058,3271,1,Allie,"Retriever, Golden",RGO,Canine,CAN,,1,Spayed Female
5189,8072,1,Allie,Saint Bernard Mix,STX,Canine,CAN,,1,Female
20015,20015-1,1,Allie,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
11834,20085,1,Allis,Domestic Mediumhair,DMH,Feline,FEL,,1,Spayed Female
L7969,L7638,1,Allister,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
22034,26963,1,Allium,Domestic Mediumhair,DMH,Feline,FEL,,1,Male
21304,21304-1,1,Ally,Domestic Shorthair,DSH,Feline,FEL,,1,Female
17993,4729,1,Ally,Bombay,BOM,Feline,FEL,,1,Spayed Female
10364,17329,1,Ally,WELSH CORGI (PEMBROKE),9,Canine,CAN,,1,Female
13177,28828,1,Ally,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
2230,3531,1,Ally,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
21576,431,1,Ally,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
2544,23123,1,Almond,"Retriever, Labrador",RLA,Canine,CAN,,1,Spayed Female
17086,24769,1,Alowishus,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
15420,24081,1,Alp,Cavachon,CHC,Canine,CAN,,1,Neutered Male
2879,L6049,1,Alpha,Pitbull,PIT,Canine,CAN,,1,Neutered Male
23657,31151,1,Alpha,"Shepherd, German",GER,Canine,CAN,,1,Female
20635,29660,1,Alphonse,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
10634,17835,1,Altai,"Shepherd, Anatolian",SAN,Canine,CAN,,1,Male
21331,21331-1,1,Althea,Domestic Shorthair,DSH,Feline,FEL,,1,Spayed Female
10692,18056,1,Althea,Great Dane,GRD,Canine,CAN,,1,Spayed Female
8505,13759,1,Alto,Chihuahua,CIA,Canine,CAN,,1,Male
11772,19974,1,Alton,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
14409,23616,1,Alucard,Maltese Mix,MAX,Canine,CAN,,1,Male
8479,14004,1,Alvarado,Chihuahua,CIA,Canine,CAN,,1,Neutered Male
5370,8323,1,Alvin,Maltese Mix,MAX,Canine,CAN,,1,Male
16137,25859,1,Alvin,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
3889,12409,1,Alvin,Domestic Shorthair,DSH,Feline,FEL,,1,Neutered Male
3259,6576,1,Alvin,Great Pyrenees Mix,GPX,Canine,CAN,,1,Neutered Male
